id,Placeable,length,theta,x1,y1,z1,x2,y2,z2
w1,1,7.7,0,-1,-1.4,-3.8,6.7,-1.3,-3.8
w2,1,3.201562119,270,6.7,-1.3,-3.8,6.8,-1.3,-7
w3,1,4.901020302,0,6.8,-1.3,-7,11.7,-1.3,-7.1
w4,1,6.100819617,90,11.7,-1.3,-7.1,11.8,-1.2,-1
w5,0,1.3,90,11.8,-1.2,-1,11.8,-1.2,0.3
w6,1,3.901281841,90,11.8,-1.2,0.3,11.9,-1.1,4.2
w7,1,5.303772242,180,11.9,-1.1,4.2,6.6,-1.1,4.4
w8,1,2.40208243,270,6.6,-1.1,4.4,6.5,-1.2,2
w9,1,7.3,180,6.5,-1.2,2,-0.8,-1.4,2
w10,1,4.501110974,270,-0.8,-1.4,2,-0.9,-1.4,-2.5
w11,0,1.303840481,270,-0.9,-1.4,-2.5,-1,-1.4,-3.8
