row,id,time,position_x,position_z,looking_at
1,rlagkwls,12-44-50-06,0,0,PA-0027
2,rlagkwls,12-44-51-60,0,0,PA-0027
3,rlagkwls,12-44-53-87,0,0,PA-0027
4,rlagkwls,12-44-54-63,0,0,PA-0027
5,rlagkwls,12-44-55-41,0,0,PA-0027
6,rlagkwls,12-44-55-98,0,0,PA-0027
7,rlagkwls,12-44-56-54,0,0,PA-0027
8,rlagkwls,12-44-57-08,0,0,PA-0027
9,rlagkwls,12-44-57-65,0,0,none
10,rlagkwls,12-44-58-18,0,0,none
11,rlagkwls,12-44-58-71,0,0,none
12,rlagkwls,12-44-59-23,0,0,none
13,rlagkwls,12-44-59-79,0,0,none
14,rlagkwls,12-45-00-34,0,0,none
15,rlagkwls,12-45-01-08,0,0,none
16,rlagkwls,12-45-01-60,0,0,none
17,rlagkwls,12-45-02-20,0,0,none
18,rlagkwls,12-45-02-76,0,0,none
19,rlagkwls,12-45-03-35,0,0,none
20,rlagkwls,12-45-03-87,0,0,none
21,rlagkwls,12-45-04-42,0,0,none
22,rlagkwls,12-45-04-94,0,0,none
23,rlagkwls,12-45-05-45,-0.3,-0.014,none
24,rlagkwls,12-45-06-19,-0.3,-0.014,none
25,rlagkwls,12-45-06-70,-0.3,-0.014,none
26,rlagkwls,12-45-07-39,-0.649,-0.031,none
27,rlagkwls,12-45-07-91,-1.248,-0.06,none
28,rlagkwls,12-45-08-64,-1.848,-0.089,none
29,rlagkwls,12-45-09-41,-1.848,-0.089,none
30,rlagkwls,12-45-09-93,-1.848,-0.089,none
31,rlagkwls,12-45-10-69,-1.877,0.511,none
32,rlagkwls,12-45-11-41,-1.905,1.11,none
33,rlagkwls,12-45-12-14,-1.949,2.009,none
34,rlagkwls,12-45-12-84,-1.992,2.908,none
35,rlagkwls,12-45-13-56,-2.035,3.807,none
36,rlagkwls,12-45-14-22,-2.078,4.706,none
37,rlagkwls,12-45-14-91,-2.109,5.355,none
38,rlagkwls,12-45-15-62,-2.152,6.254,none
39,rlagkwls,12-45-16-30,-2.196,7.153,none
40,rlagkwls,12-45-17-02,-2.239,8.052,none
41,rlagkwls,12-45-17-75,-2.253,8.351,none
42,rlagkwls,12-45-18-40,-2.253,8.351,none
43,rlagkwls,12-45-18-90,-2.253,8.351,none
44,rlagkwls,12-45-19-59,-2.253,8.351,none
45,rlagkwls,12-45-20-30,-2.253,8.351,none
46,rlagkwls,12-45-21-00,-2.253,8.351,PA-0025
47,rlagkwls,12-45-21-73,-2.253,8.351,none
48,rlagkwls,12-45-22-42,-2.253,8.351,none
49,rlagkwls,12-45-23-15,-2.253,8.351,none
50,rlagkwls,12-45-23-65,-2.253,8.351,none
51,rlagkwls,12-45-24-15,-2.253,8.351,none
52,rlagkwls,12-45-24-89,-2.253,8.351,none
53,rlagkwls,12-45-25-59,-2.253,8.351,none
54,rlagkwls,12-45-26-28,-2.253,8.351,none
55,rlagkwls,12-45-27-00,-2.253,8.351,none
56,rlagkwls,12-45-27-71,-2.253,8.351,none
57,rlagkwls,12-45-28-40,-2.253,8.351,none
58,rlagkwls,12-45-28-90,-2.253,8.351,none
59,rlagkwls,12-45-29-62,-2.253,8.351,none
60,rlagkwls,12-45-30-34,-2.253,8.351,none
61,rlagkwls,12-45-31-05,-2.253,8.351,none
62,rlagkwls,12-45-31-56,-2.253,8.351,none
63,rlagkwls,12-45-32-26,-2.253,8.351,none
64,rlagkwls,12-45-32-77,-2.253,8.351,none
65,rlagkwls,12-45-33-46,-2.253,8.351,none
66,rlagkwls,12-45-33-96,-2.253,8.351,none
67,rlagkwls,12-45-34-72,-2.253,8.351,none
68,rlagkwls,12-45-35-39,-2.253,8.351,none
69,rlagkwls,12-45-36-10,-2.253,8.351,none
70,rlagkwls,12-45-36-78,-2.252,8.651,none
71,rlagkwls,12-45-37-51,-2.249,9.251,none
72,rlagkwls,12-45-38-19,-2.245,10.151,none
73,rlagkwls,12-45-38-90,-2.242,10.801,none
74,rlagkwls,12-45-39-61,-2.239,11.701,none
75,rlagkwls,12-45-40-33,-2.237,12.101,none
76,rlagkwls,12-45-41-05,-2.234,12.751,none
77,rlagkwls,12-45-41-82,-2.23,13.651,none
78,rlagkwls,12-45-42-46,-2.226,14.551,none
79,rlagkwls,12-45-42-98,-2.224,15.151,none
80,rlagkwls,12-45-43-67,-2.222,15.551,none
81,rlagkwls,12-45-44-35,-2.219,16.201,none
82,rlagkwls,12-45-45-06,-2.215,17.101,none
83,rlagkwls,12-45-45-76,-2.213,17.451,none
84,rlagkwls,12-45-46-41,-2.213,17.451,none
85,rlagkwls,12-45-47-13,-2.212,17.751,none
86,rlagkwls,12-45-47-85,-2.212,17.751,none
87,rlagkwls,12-45-48-50,-2.212,17.801,none
88,rlagkwls,12-45-49-01,-2.211,18.101,none
89,rlagkwls,12-45-49-71,-2.208,18.701,none
